AA,Count,Prob,B_CHI1,B_CHI2,B_CHI3,B_CHI4,B_CHI1Sig,B_CHI2Sig,B_CHI3Sig,B_CHI4Sig
ASN,135,0.3479,-70.3,-36.8,0.0,0.0,6.91,17.31,0.0,0.0
ASP,35,0.0997,61.7,25.6,0.0,0.0,6.55,19.68,0.0,0.0
ASP,6,0.0171,62.0,-173.8,0.0,0.0,1.68,16.74,0.0,0.0
ASP,28,0.0798,62.1,-35.4,0.0,0.0,8.64,20.41,0.0,0.0
ASP,52,0.1481,-171.0,43.9,0.0,0.0,7.97,22.47,0.0,0.0
ASP,9,0.0256,-172.9,179.1,0.0,0.0,2.69,20.05,0.0,0.0
ASP,36,0.1026,-166.9,-33.4,0.0,0.0,8.67,27.53,0.0,0.0
ASP,51,0.1453,-73.5,27.2,0.0,0.0,7.31,20.65,0.0,0.0
ASP,15,0.0427,-70.0,163.2,0.0,0.0,10.4,19.64,0.0,0.0
ASP,119,0.339,-68.3,-28.0,0.0,0.0,7.02,16.17,0.0,0.0
HIS,10,0.0403,59.5,75.3,0.0,0.0,6.53,10.03,0.0,0.0
HIS,10,0.0403,60.2,-140.4,0.0,0.0,4.06,20.27,0.0,0.0
HIS,22,0.0887,65.2,-82.3,0.0,0.0,6.12,13.33,0.0,0.0
HIS,34,0.1371,-177.5,65.8,0.0,0.0,7.21,14.65,0.0,0.0
HIS,14,0.0565,-173.2,-158.5,0.0,0.0,8.89,25.32,0.0,0.0
HIS,38,0.1532,-170.0,-82.0,0.0,0.0,6.93,14.73,0.0,0.0
HIS,24,0.0968,-70.4,84.1,0.0,0.0,6.82,16.78,0.0,0.0
HIS,25,0.1008,-68.3,163.9,0.0,0.0,6.46,17.95,0.0,0.0
HIS,71,0.2863,-61.8,-69.4,0.0,0.0,8.87,16.57,0.0,0.0
ILE,5,0.0169,30.4,93.6,0.0,0.0,21.47,11.86,0.0,0.0
ILE,37,0.125,64.2,172.8,0.0,0.0,7.02,7.75,0.0,0.0
ILE,1,0.0034,68.2,-65.3,0.0,0.0,0.0,0.0,0.0,0.0
ILE,13,0.0439,-162.3,65.3,0.0,0.0,12.36,6.13,0.0,0.0
ILE,25,0.0845,-171.0,169.1,0.0,0.0,6.24,6.77,0.0,0.0
ILE,12,0.0405,-73.3,76.8,0.0,0.0,17.96,15.78,0.0,0.0
ILE,150,0.5068,-62.7,173.2,0.0,0.0,7.63,7.67,0.0,0.0
ILE,53,0.1791,-60.9,-58.7,0.0,0.0,5.24,10.59,0.0,0.0
LEU,5,0.0136,43.0,70.5,0.0,0.0,18.68,16.51,0.0,0.0
LEU,4,0.0109,72.4,164.9,0.0,0.0,6.01,7.78,0.0,0.0
LEU,101,0.2745,-177.4,62.2,0.0,0.0,8.48,7.47,0.0,0.0
LEU,13,0.0353,-167.9,160.5,0.0,0.0,10.31,20.28,0.0,0.0
LEU,5,0.0136,-160.1,-92.1,0.0,0.0,11.64,9.62,0.0,0.0
LEU,30,0.0815,-90.7,42.3,0.0,0.0,12.9,14.8,0.0,0.0
LEU,201,0.5462,-63.9,175.2,0.0,0.0,6.63,7.24,0.0,0.0
LEU,9,0.0245,-85.4,-49.5,0.0,0.0,10.35,22.84,0.0,0.0
PHE,24,0.0833,61.8,86.4,0.0,0.0,6.92,5.18,0.0,0.0
PHE,15,0.0521,69.2,-82.8,0.0,0.0,6.12,5.08,0.0,0.0
PHE,75,0.2604,180.0,74.3,0.0,0.0,6.8,9.33,0.0,0.0
PHE,3,0.0104,-170.6,-144.6,0.0,0.0,2.73,14.74,0.0,0.0
PHE,17,0.059,-178.5,-87.4,0.0,0.0,6.05,11.28,0.0,0.0
PHE,39,0.1354,-71.4,80.1,0.0,0.0,10.62,18.75,0.0,0.0
PHE,6,0.0208,-59.8,133.0,0.0,0.0,7.93,6.23,0.0,0.0
PHE,109,0.3785,-64.6,-72.9,0.0,0.0,7.52,13.13,0.0,0.0
PRO,9,0.0291,5.1,6.9,0.0,0.0,4.34,3.81,0.0,0.0
PRO,129,0.4175,27.3,-35.2,0.0,0.0,5.02,4.65,0.0,0.0
PRO,171,0.5534,-25.1,36.4,0.0,0.0,5.47,4.99,0.0,0.0
TRP,4,0.0606,56.0,85.2,0.0,0.0,4.98,7.61,0.0,0.0
TRP,10,0.1515,65.2,-91.3,0.0,0.0,6.89,3.25,0.0,0.0
TRP,13,0.197,-177.0,83.7,0.0,0.0,7.72,8.67,0.0,0.0
TRP,1,0.0152,-140.7,-130.9,0.0,0.0,0.0,0.0,0.0,0.0
TRP,9,0.1364,-173.4,-89.7,0.0,0.0,9.08,22.11,0.0,0.0
TRP,18,0.2727,-69.2,96.1,0.0,0.0,6.52,12.16,0.0,0.0
TRP,4,0.0606,-71.7,125.8,0.0,0.0,15.21,3.34,0.0,0.0
TRP,7,0.1061,-64.1,-18.8,0.0,0.0,3.67,19.64,0.0,0.0
TYR,28,0.0859,58.6,85.5,0.0,0.0,7.24,6.12,0.0,0.0
TYR,12,0.0368,61.5,-79.1,0.0,0.0,5.78,6.3,0.0,0.0
TYR,87,0.2669,179.9,74.1,0.0,0.0,5.27,10.82,0.0,0.0
TYR,3,0.0092,-169.9,-153.3,0.0,0.0,2.76,35.18,0.0,0.0
TYR,23,0.0706,-175.6,-82.7,0.0,0.0,7.03,6.11,0.0,0.0
TYR,52,0.1595,-67.0,89.1,0.0,0.0,7.86,8.28,0.0,0.0
TYR,9,0.0276,-60.9,131.8,0.0,0.0,10.49,10.23,0.0,0.0
TYR,112,0.3436,-64.9,-73.0,0.0,0.0,8.53,10.96,0.0,0.0
CYS,27,0.3462,64.9,0.0,0.0,0.0,7.98,0.0,0.0,0.0
CYS,25,0.3205,-176.9,0.0,0.0,0.0,4.37,0.0,0.0,0.0
CYS,26,0.3333,-63.9,0.0,0.0,0.0,7.84,0.0,0.0,0.0
SER,225,0.4601,65.5,0.0,0.0,0.0,8.95,0.0,0.0,0.0
SER,118,0.2413,178.9,0.0,0.0,0.0,10.85,0.0,0.0,0.0
SER,146,0.2986,-62.4,0.0,0.0,0.0,11.57,0.0,0.0,0.0
THR,197,0.5051,61.6,0.0,0.0,0.0,7.75,0.0,0.0,0.0
THR,33,0.0846,-172.3,0.0,0.0,0.0,12.36,0.0,0.0,0.0
THR,160,0.4103,-58.6,0.0,0.0,0.0,7.83,0.0,0.0,0.0
VAL,37,0.1246,65.4,0.0,0.0,0.0,7.34,0.0,0.0,0.0
VAL,204,0.6869,176.6,0.0,0.0,0.0,6.67,0.0,0.0,0.0
VAL,56,0.1886,-60.1,0.0,0.0,0.0,10.01,0.0,0.0,0.0
