AA,Count,Prob,U_CHI1,U_CHI2,U_CHI3,U_CHI4,U_CHI1Sig,U_CHI2Sig,U_CHI3Sig,U_CHI4Sig
PHE,17,0.059,65.9,-79.9,0.0,0.0,9.07,6.74,0.0,0.0
PHE,73,0.2535,-179.6,75.2,0.0,0.0,6.6,7.0,0.0,0.0
PHE,3,0.0104,-160.0,170.2,0.0,0.0,6.08,4.05,0.0,0.0
PHE,10,0.0347,-176.8,-85.8,0.0,0.0,10.34,5.47,0.0,0.0
PHE,48,0.1667,-69.5,83.5,0.0,0.0,8.11,15.67,0.0,0.0
PHE,2,0.0069,-77.1,-168.8,0.0,0.0,5.99,6.17,0.0,0.0
PHE,111,0.3854,-64.7,-73.1,0.0,0.0,8.04,14.09,0.0,0.0
PRO,6,0.0194,5.6,11.0,0.0,0.0,2.31,1.75,0.0,0.0
PRO,1,0.0032,29.9,144.3,0.0,0.0,0.0,0.0,0.0,0.0
PRO,140,0.4531,26.6,-35.1,0.0,0.0,4.91,4.47,0.0,0.0
PRO,160,0.5178,-26.3,37.0,0.0,0.0,5.23,5.27,0.0,0.0
PRO,2,0.0065,-3.7,-17.1,0.0,0.0,0.39,0.14,0.0,0.0
TRP,4,0.0606,57.2,87.0,0.0,0.0,8.75,1.54,0.0,0.0
TRP,10,0.1515,65.2,-94.9,0.0,0.0,6.85,5.78,0.0,0.0
TRP,11,0.1667,-175.7,83.3,0.0,0.0,7.67,7.39,0.0,0.0
TRP,1,0.0152,-156.2,-122.5,0.0,0.0,0.0,0.0,0.0,0.0
TRP,8,0.1212,-172.5,-89.4,0.0,0.0,8.31,11.08,0.0,0.0
TRP,21,0.3182,-70.4,94.3,0.0,0.0,7.27,19.35,0.0,0.0
TRP,2,0.0303,-79.0,121.8,0.0,0.0,7.92,0.85,0.0,0.0
TRP,9,0.1364,-62.8,-23.9,0.0,0.0,5.61,14.75,0.0,0.0
TYR,27,0.0828,58.3,84.3,0.0,0.0,8.37,8.43,0.0,0.0
TYR,12,0.0368,64.9,-83.1,0.0,0.0,7.59,9.71,0.0,0.0
TYR,95,0.2914,179.4,71.9,0.0,0.0,6.61,13.1,0.0,0.0
TYR,21,0.0644,-175.7,-84.4,0.0,0.0,9.73,9.83,0.0,0.0
TYR,50,0.1534,-67.2,85.8,0.0,0.0,8.24,13.13,0.0,0.0
TYR,7,0.0215,-68.9,155.4,0.0,0.0,12.42,21.71,0.0,0.0
TYR,114,0.3497,-65.4,-72.5,0.0,0.0,8.16,11.25,0.0,0.0
CYS,21,0.2692,69.3,0.0,0.0,0.0,8.44,0.0,0.0,0.0
CYS,27,0.3462,-176.5,0.0,0.0,0.0,4.03,0.0,0.0,0.0
CYS,30,0.3846,-63.2,0.0,0.0,0.0,13.55,0.0,0.0,0.0
SER,214,0.4376,65.9,0.0,0.0,0.0,9.42,0.0,0.0,0.0
SER,119,0.2434,177.6,0.0,0.0,0.0,8.96,0.0,0.0,0.0
SER,156,0.319,-62.5,0.0,0.0,0.0,11.22,0.0,0.0,0.0
THR,197,0.5051,61.3,0.0,0.0,0.0,7.5,0.0,0.0,0.0
THR,31,0.0795,-173.4,0.0,0.0,0.0,8.67,0.0,0.0,0.0
THR,162,0.4154,-58.7,0.0,0.0,0.0,7.2,0.0,0.0,0.0
VAL,42,0.1414,62.1,0.0,0.0,0.0,9.5,0.0,0.0,0.0
VAL,196,0.6599,178.0,0.0,0.0,0.0,6.87,0.0,0.0,0.0
VAL,59,0.1987,-61.2,0.0,0.0,0.0,8.75,0.0,0.0,0.0
