AA,Count,Prob,B_CHI1,B_CHI2,B_CHI3,B_CHI4,B_CHI1Sig,B_CHI2Sig,B_CHI3Sig,B_CHI4Sig
GLU,273,0.0605,-169.8,64.5,37.9,0.0,12.13,8.77,16.88,0.0
GLU,79,0.0175,-170.3,67.5,-159.6,0.0,13.96,10.09,18.51,0.0
GLU,74,0.0164,-169.0,73.0,-49.7,0.0,12.05,12.0,28.08,0.0
GLU,406,0.0899,-176.1,177.0,37.3,0.0,10.2,9.6,21.29,0.0
GLU,158,0.035,-175.3,177.8,177.7,0.0,10.05,10.51,19.39,0.0
GLU,460,0.1019,-173.8,-179.5,-34.6,0.0,9.45,9.93,19.81,0.0
GLU,13,0.0029,-155.1,-92.8,73.5,0.0,21.47,14.15,26.39,0.0
GLU,18,0.004,-159.6,-87.3,165.2,0.0,20.52,6.24,18.55,0.0
GLU,67,0.0148,-163.9,-85.8,-35.5,0.0,15.46,11.8,19.56,0.0
GLU,150,0.0332,-69.0,76.1,40.2,0.0,12.68,9.23,20.37,0.0
GLU,50,0.0111,-66.0,78.7,-168.7,0.0,9.25,6.57,17.44,0.0
GLU,117,0.0259,-64.7,87.5,-36.9,0.0,11.31,8.4,23.55,0.0
GLU,618,0.1369,-69.3,176.4,34.2,0.0,9.77,11.25,20.57,0.0
GLU,250,0.0554,-68.4,177.5,-177.5,0.0,8.99,10.82,17.78,0.0
GLU,655,0.1451,-66.7,-179.8,-32.2,0.0,8.19,9.78,19.17,0.0
GLU,122,0.027,-67.1,-73.5,50.0,0.0,11.43,11.31,29.17,0.0
GLU,120,0.0266,-66.6,-68.4,158.7,0.0,9.59,9.02,20.05,0.0
GLU,451,0.0999,-66.5,-64.4,-43.6,0.0,9.08,8.98,17.16,0.0
MET,5,0.0046,69.9,87.1,71.7,0.0,5.32,4.48,8.6,0.0
MET,3,0.0028,83.1,84.4,171.3,0.0,9.78,7.3,8.57,0.0
MET,33,0.0306,63.0,-177.9,73.4,0.0,9.18,9.49,13.1,0.0
MET,17,0.0158,62.4,-175.7,-167.8,0.0,11.97,5.96,22.39,0.0
MET,31,0.0288,64.9,177.7,-70.7,0.0,8.5,10.22,12.71,0.0
MET,1,0.0009,72.4,-71.4,-153.1,0.0,0.0,0.0,0.0,0.0
MET,1,0.0009,88.5,-114.2,-56.9,0.0,0.0,0.0,0.0,0.0
MET,53,0.0492,-172.0,63.1,74.2,0.0,9.92,6.67,12.55,0.0
MET,26,0.0241,-169.1,58.5,-173.0,0.0,10.96,6.95,16.57,0.0
MET,10,0.0093,-167.0,73.9,-87.7,0.0,15.13,8.56,19.55,0.0
MET,83,0.077,-178.1,-178.5,71.0,0.0,7.29,11.7,12.69,0.0
MET,29,0.0269,-170.3,178.3,178.1,0.0,10.92,7.49,13.06,0.0
MET,75,0.0696,-171.9,178.2,-71.1,0.0,11.39,8.99,11.91,0.0
MET,2,0.0019,168.5,-98.7,114.0,0.0,3.52,8.57,4.4,0.0
MET,4,0.0037,-164.6,-78.9,164.7,0.0,11.71,13.55,24.63,0.0
MET,14,0.013,-170.0,-88.6,-73.6,0.0,9.27,8.77,11.53,0.0
MET,4,0.0037,-76.8,70.4,60.3,0.0,9.43,10.37,4.71,0.0
MET,4,0.0037,-85.8,85.4,178.7,0.0,16.64,15.88,12.97,0.0
MET,1,0.0009,-84.6,53.9,-90.2,0.0,0.0,0.0,0.0,0.0
MET,191,0.1772,-67.6,178.5,70.5,0.0,7.72,9.04,10.94,0.0
MET,71,0.0659,-67.0,-176.8,177.1,0.0,7.61,7.55,17.35,0.0
MET,124,0.115,-68.1,-173.7,-67.7,0.0,8.24,8.37,14.01,0.0
MET,56,0.0519,-64.0,-65.1,95.5,0.0,4.68,7.87,8.13,0.0
MET,36,0.0334,-67.4,-59.3,162.3,0.0,8.21,11.15,18.06,0.0
MET,204,0.1892,-66.9,-61.4,-68.6,0.0,8.06,8.58,11.23,0.0
ASN,167,0.0671,61.4,38.1,0.0,0.0,7.98,22.31,0.0,0.0
ASN,23,0.0092,61.4,-172.3,0.0,0.0,10.82,25.88,0.0,0.0
ASN,137,0.0551,62.1,-38.9,0.0,0.0,7.3,18.07,0.0,0.0
ASN,328,0.1319,-170.7,39.6,0.0,0.0,9.52,16.81,0.0,0.0
ASN,54,0.0217,-168.9,-159.8,0.0,0.0,8.75,25.52,0.0,0.0
ASN,325,0.1307,-170.3,-51.3,0.0,0.0,8.57,26.73,0.0,0.0
ASN,262,0.1053,-70.5,59.3,0.0,0.0,12.24,31.99,0.0,0.0
ASN,183,0.0736,-68.8,149.9,0.0,0.0,9.11,17.36,0.0,0.0
ASN,1008,0.4053,-68.7,-40.1,0.0,0.0,8.24,18.11,0.0,0.0
ASP,199,0.0568,57.2,29.4,0.0,0.0,8.54,20.61,0.0,0.0
ASP,60,0.0171,62.4,179.9,0.0,0.0,6.66,21.17,0.0,0.0
ASP,247,0.0705,61.0,-33.1,0.0,0.0,8.06,19.32,0.0,0.0
ASP,576,0.1645,-173.5,41.1,0.0,0.0,8.05,22.19,0.0,0.0
ASP,106,0.0303,-173.5,-179.2,0.0,0.0,9.34,19.72,0.0,0.0
