AA,Count,Prob,B_CHI1,B_CHI2,B_CHI3,B_CHI4,B_CHI1Sig,B_CHI2Sig,B_CHI3Sig,B_CHI4Sig
GLN,60,0.0246,-174.1,69.2,-74.7,0.0,10.68,8.61,26.67,0.0
GLN,176,0.0722,-176.0,177.8,48.2,0.0,8.98,9.57,20.01,0.0
GLN,59,0.0242,-176.1,177.5,178.6,0.0,9.04,8.36,23.94,0.0
GLN,200,0.082,-174.5,-179.5,-37.4,0.0,9.68,9.5,21.27,0.0
GLN,13,0.0053,-166.7,-90.1,52.2,0.0,15.7,17.23,30.06,0.0
GLN,3,0.0012,-132.8,-92.6,135.2,0.0,22.48,19.91,27.45,0.0
GLN,28,0.0115,-169.5,-88.8,-36.9,0.0,12.06,8.21,13.02,0.0
GLN,55,0.0226,-70.3,76.8,46.2,0.0,9.59,10.13,17.13,0.0
GLN,10,0.0041,-71.5,81.1,-160.1,0.0,12.19,9.83,17.76,0.0
GLN,51,0.0209,-72.0,87.8,-50.1,0.0,15.56,14.02,24.88,0.0
GLN,383,0.157,-66.9,178.6,43.8,0.0,8.21,10.69,20.94,0.0
GLN,114,0.0467,-65.3,177.5,-172.0,0.0,10.16,10.36,20.88,0.0
GLN,415,0.1702,-68.3,178.6,-41.3,0.0,7.31,8.37,19.83,0.0
GLN,97,0.0398,-65.0,-70.4,77.9,0.0,9.74,12.2,28.39,0.0
GLN,59,0.0242,-65.3,-65.4,143.3,0.0,8.16,8.37,19.0,0.0
GLN,288,0.1181,-65.4,-62.1,-46.9,0.0,8.74,8.58,13.93,0.0
GLU,7,0.0014,55.3,93.8,60.0,0.0,21.63,10.35,27.62,0.0
GLU,7,0.0014,55.0,92.8,-169.7,0.0,23.12,12.54,9.44,0.0
GLU,3,0.0006,54.5,94.1,-65.0,0.0,28.1,9.25,32.91,0.0
GLU,127,0.0262,60.8,-178.3,45.3,0.0,12.29,9.53,22.46,0.0
GLU,73,0.015,58.1,-178.5,-175.2,0.0,12.16,12.46,20.96,0.0
GLU,133,0.0274,59.9,-178.9,-44.5,0.0,10.81,11.33,21.48,0.0
GLU,55,0.0113,62.2,-88.6,35.7,0.0,10.35,6.9,18.46,0.0
GLU,16,0.0033,50.6,-93.1,178.9,0.0,17.3,7.94,30.28,0.0
GLU,47,0.0097,55.4,-74.4,-41.4,0.0,15.81,9.92,15.04,0.0
GLU,295,0.0608,-170.4,64.6,37.7,0.0,11.92,8.84,16.94,0.0
GLU,85,0.0175,-170.0,67.6,-158.7,0.0,14.03,9.85,18.14,0.0
GLU,79,0.0163,-169.4,72.5,-50.5,0.0,12.51,12.23,28.86,0.0
GLU,425,0.0875,-175.9,177.0,37.0,0.0,10.15,9.48,21.29,0.0
GLU,176,0.0363,-175.5,178.0,178.3,0.0,9.84,10.54,19.07,0.0
GLU,491,0.1011,-173.8,-179.4,-34.6,0.0,9.48,9.95,19.92,0.0
GLU,14,0.0029,-158.5,-94.0,70.7,0.0,24.5,13.24,25.36,0.0
GLU,21,0.0043,-164.2,-89.2,166.4,0.0,21.29,7.16,17.79,0.0
GLU,75,0.0154,-165.0,-85.9,-37.1,0.0,15.48,11.52,19.26,0.0
GLU,162,0.0334,-69.8,76.3,39.0,0.0,13.34,9.49,20.17,0.0
GLU,55,0.0113,-65.7,79.1,-170.8,0.0,9.26,6.43,18.03,0.0
GLU,134,0.0276,-64.8,87.9,-33.8,0.0,10.93,7.83,22.65,0.0
GLU,660,0.1359,-69.0,176.3,34.6,0.0,9.82,11.42,20.68,0.0
GLU,267,0.055,-68.3,176.8,-177.9,0.0,8.93,10.66,17.9,0.0
GLU,700,0.1442,-66.5,-179.8,-32.6,0.0,8.2,9.75,19.31,0.0
GLU,136,0.028,-66.6,-74.6,47.3,0.0,10.98,11.31,29.34,0.0
GLU,129,0.0266,-66.4,-68.4,159.2,0.0,9.62,9.14,20.17,0.0
GLU,483,0.0995,-66.2,-64.5,-43.6,0.0,9.03,8.97,17.07,0.0
MET,5,0.0042,69.9,87.1,71.7,0.0,5.32,4.48,8.6,0.0
MET,4,0.0033,72.8,79.2,164.9,0.0,19.63,11.15,10.69,0.0
MET,34,0.0284,63.1,-177.9,72.7,0.0,8.93,9.24,13.04,0.0
MET,20,0.0167,63.0,-174.9,-167.2,0.0,11.91,6.99,20.32,0.0
MET,37,0.0309,63.6,179.2,-69.9,0.0,9.21,10.9,11.42,0.0
MET,1,0.0008,72.4,-71.4,-153.1,0.0,0.0,0.0,0.0,0.0
MET,1,0.0008,88.5,-114.2,-56.9,0.0,0.0,0.0,0.0,0.0
MET,56,0.0467,-172.4,63.2,73.8,0.0,9.75,6.75,12.07,0.0
MET,28,0.0234,-169.4,59.2,-173.1,0.0,10.3,7.13,15.35,0.0
MET,10,0.0083,-167.0,73.9,-87.7,0.0,15.13,8.56,19.55,0.0
MET,89,0.0743,-177.8,-179.0,71.4,0.0,7.68,11.75,12.83,0.0
MET,30,0.025,-170.9,178.8,178.4,0.0,10.89,7.87,12.68,0.0
MET,86,0.0718,-172.4,178.0,-71.2,0.0,11.07,8.88,11.9,0.0
MET,3,0.0025,178.4,-88.5,112.8,0.0,23.42,17.23,3.11,0.0
MET,5,0.0042,-158.5,-75.1,164.2,0.0,14.36,12.23,20.22,0.0
MET,15,0.0125,-170.9,-88.5,-74.1,0.0,9.16,8.17,10.99,0.0
MET,4,0.0033,-76.8,70.4,60.3,0.0,9.43,10.37,4.71,0.0
MET,6,0.005,-70.7,77.5,167.0,0.0,19.49,14.04,16.14,0.0
MET,2,0.0017,-80.0,78.1,-90.0,0.0,4.63,24.16,0.2,0.0
MET,216,0.1803,-67.8,178.5,70.5,0.0,7.66,8.85,11.02,0.0
