AA,Count,Prob,U_CHI1,U_CHI2,U_CHI3,U_CHI4,U_CHI1Sig,U_CHI2Sig,U_CHI3Sig,U_CHI4Sig
LYS,188,0.0422,-68.9,174.8,66.7,178.5,9.82,11.53,9.8,8.11
LYS,24,0.0054,-64.4,175.4,80.5,-65.1,13.17,11.0,13.43,12.86
LYS,197,0.0443,-68.6,-176.1,175.2,66.8,7.7,9.64,11.98,11.75
LYS,906,0.2036,-67.0,-179.7,179.7,179.1,7.3,8.26,7.87,8.44
LYS,236,0.053,-67.8,-178.9,-178.7,-63.6,7.93,10.72,9.94,9.62
LYS,15,0.0034,-68.1,-174.2,-82.3,74.8,9.71,10.87,16.12,14.64
LYS,155,0.0348,-67.5,-172.4,-71.4,-177.5,8.71,11.4,11.44,12.13
LYS,53,0.0119,-64.1,-164.3,-73.3,-68.9,9.28,13.38,10.61,12.72
LYS,12,0.0027,-58.8,-76.8,90.7,70.6,7.79,14.65,11.29,6.93
LYS,22,0.0049,-64.3,-84.7,79.6,176.2,12.68,16.16,17.79,14.36
LYS,1,0.0002,-80.2,-88.1,104.0,-113.5,0.0,0.0,0.0,0.0
LYS,104,0.0234,-61.8,-69.6,-179.4,60.6,9.22,11.73,11.06,10.5
LYS,272,0.0611,-61.9,-66.0,-178.6,-178.0,8.14,8.8,8.35,9.06
LYS,127,0.0285,-61.3,-68.1,-176.3,-65.5,8.66,10.24,11.82,11.05
LYS,6,0.0013,-71.2,-68.7,-97.7,57.4,8.53,10.72,8.17,11.34
LYS,69,0.0155,-60.6,-66.4,-68.3,-178.6,8.71,14.0,8.52,7.29
LYS,20,0.0045,-63.0,-68.8,-70.9,-64.8,6.73,8.26,11.91,8.66
GLN,11,0.0045,69.9,87.0,54.5,0.0,6.71,4.43,16.37,0.0
GLN,6,0.0025,58.5,90.2,-166.7,0.0,24.0,11.23,28.11,0.0
GLN,2,0.0008,46.6,96.8,-66.3,0.0,15.5,6.71,41.35,0.0
GLN,61,0.025,62.6,-179.2,57.7,0.0,12.35,10.03,21.85,0.0
GLN,26,0.0107,60.3,-178.5,179.9,0.0,11.49,12.88,20.39,0.0
GLN,60,0.0246,63.9,-178.6,-42.8,0.0,7.6,10.41,22.03,0.0
GLN,10,0.0041,58.3,-87.3,50.1,0.0,5.41,4.65,24.42,0.0
GLN,6,0.0025,56.6,-77.0,165.7,0.0,13.06,2.29,14.93,0.0
GLN,19,0.0078,73.2,-70.5,-33.9,0.0,9.54,6.7,13.28,0.0
GLN,194,0.0795,-175.8,63.1,49.4,0.0,7.4,7.9,16.26,0.0
GLN,43,0.0176,-177.0,64.3,-144.1,0.0,9.95,6.39,18.65,0.0
GLN,63,0.0258,-173.0,70.2,-73.3,0.0,12.14,10.32,30.07,0.0
GLN,188,0.0771,-175.8,176.4,42.6,0.0,8.3,9.77,22.11,0.0
GLN,79,0.0324,-174.9,-177.2,174.5,0.0,7.93,8.76,21.33,0.0
GLN,190,0.0779,-174.9,-179.8,-39.4,0.0,9.65,11.21,22.74,0.0
GLN,11,0.0045,-159.8,-103.3,58.7,0.0,24.53,15.87,32.66,0.0
GLN,2,0.0008,175.8,-76.4,139.8,0.0,20.16,9.85,4.21,0.0
GLN,34,0.0139,-166.5,-84.8,-37.2,0.0,9.38,9.6,15.54,0.0
GLN,51,0.0209,-68.9,74.7,47.2,0.0,8.96,10.02,16.33,0.0
GLN,8,0.0033,-70.2,75.1,-147.8,0.0,10.4,10.88,11.93,0.0
GLN,44,0.018,-69.7,88.8,-49.9,0.0,11.81,11.39,24.84,0.0
GLN,342,0.1402,-67.0,178.8,41.2,0.0,7.93,10.02,20.93,0.0
GLN,105,0.0431,-67.2,178.7,179.5,0.0,7.8,8.93,21.92,0.0
GLN,442,0.1812,-67.3,178.6,-43.8,0.0,7.77,9.29,21.45,0.0
GLN,93,0.0381,-66.8,-68.0,84.6,0.0,7.7,10.34,27.33,0.0
GLN,56,0.023,-62.1,-64.2,145.6,0.0,9.94,8.37,18.74,0.0
GLN,293,0.1201,-64.0,-62.0,-44.8,0.0,8.03,8.4,15.03,0.0
GLU,17,0.0035,65.0,83.8,41.1,0.0,15.23,8.92,13.41,0.0
GLU,3,0.0006,45.3,79.6,-171.1,0.0,9.63,2.69,2.6,0.0
GLU,4,0.0008,53.3,80.9,-64.8,0.0,27.2,8.19,42.82,0.0
GLU,132,0.0272,62.3,-176.7,44.5,0.0,10.87,9.76,23.82,0.0
GLU,60,0.0124,63.7,179.7,178.2,0.0,11.02,10.94,17.02,0.0
GLU,138,0.0284,63.4,-178.7,-45.9,0.0,10.73,10.96,24.38,0.0
GLU,54,0.0111,63.7,-87.9,31.8,0.0,9.51,7.48,18.57,0.0
GLU,15,0.0031,60.3,-74.5,169.7,0.0,17.47,13.04,30.64,0.0
GLU,41,0.0084,56.3,-74.9,-44.0,0.0,18.73,8.1,20.47,0.0
GLU,305,0.0628,-172.8,64.1,36.7,0.0,11.77,7.71,16.58,0.0
GLU,58,0.0119,-174.2,67.3,-162.4,0.0,11.74,8.16,16.06,0.0
GLU,81,0.0167,-175.2,73.2,-43.6,0.0,12.15,11.2,28.17,0.0
GLU,478,0.0985,-175.7,178.1,37.7,0.0,9.25,9.58,21.14,0.0
GLU,179,0.0369,-173.8,-179.8,173.8,0.0,10.39,10.24,18.09,0.0
GLU,477,0.0982,-174.8,180.0,-33.3,0.0,8.83,9.54,21.11,0.0
GLU,15,0.0031,-164.9,-91.5,47.3,0.0,21.22,12.6,26.82,0.0
GLU,17,0.0035,-158.0,-85.4,155.1,0.0,11.29,10.86,15.23,0.0
GLU,53,0.0109,-161.0,-82.3,-41.0,0.0,14.07,13.08,16.8,0.0
GLU,164,0.0338,-68.0,75.8,40.0,0.0,12.53,9.69,19.77,0.0
GLU,39,0.008,-66.4,81.3,-176.4,0.0,6.0,8.01,17.53,0.0
GLU,118,0.0243,-64.3,89.9,-27.7,0.0,9.16,8.11,19.53,0.0
GLU,693,0.1427,-68.4,176.4,32.6,0.0,9.71,10.74,20.58,0.0
GLU,207,0.0426,-65.9,179.3,179.8,0.0,8.68,9.27,18.51,0.0
GLU,742,0.1528,-66.1,-179.1,-33.3,0.0,7.76,9.16,18.98,0.0
GLU,152,0.0313,-64.1,-75.2,46.6,0.0,9.72,12.19,29.66,0.0
