AA,Count,Prob,U_CHI1,U_CHI2,U_CHI3,U_CHI4,U_CHI1Sig,U_CHI2Sig,U_CHI3Sig,U_CHI4Sig
HIS,50,0.0368,61.1,83.8,0.0,0.0,8.61,11.61,0.0,0.0
HIS,12,0.0088,64.7,156.7,0.0,0.0,9.12,23.91,0.0,0.0
HIS,91,0.0669,63.3,-80.3,0.0,0.0,8.1,10.82,0.0,0.0
HIS,184,0.1353,-179.5,69.8,0.0,0.0,8.5,11.7,0.0,0.0
HIS,60,0.0441,-176.0,-164.5,0.0,0.0,7.48,20.8,0.0,0.0
HIS,191,0.1404,-171.3,-85.6,0.0,0.0,7.66,13.01,0.0,0.0
HIS,215,0.1581,-66.4,86.3,0.0,0.0,7.32,13.9,0.0,0.0
HIS,148,0.1088,-68.6,169.2,0.0,0.0,7.39,22.69,0.0,0.0
HIS,409,0.3007,-62.7,-72.3,0.0,0.0,8.27,13.0,0.0,0.0
ILE,48,0.0138,59.1,93.0,0.0,0.0,13.9,10.63,0.0,0.0
ILE,419,0.1202,62.0,172.4,0.0,0.0,6.07,7.61,0.0,0.0
ILE,10,0.0029,65.0,-65.3,0.0,0.0,14.21,18.73,0.0,0.0
ILE,120,0.0344,-170.5,65.3,0.0,0.0,9.63,6.34,0.0,0.0
ILE,197,0.0565,-170.6,169.4,0.0,0.0,7.44,7.31,0.0,0.0
ILE,17,0.0049,-174.4,-29.2,0.0,0.0,14.17,34.94,0.0,0.0
ILE,118,0.0339,-68.4,83.1,0.0,0.0,10.56,14.69,0.0,0.0
ILE,1970,0.5653,-63.9,172.4,0.0,0.0,5.88,7.31,0.0,0.0
ILE,586,0.1681,-59.1,-60.8,0.0,0.0,6.33,7.33,0.0,0.0
LEU,46,0.008,53.2,77.6,0.0,0.0,13.36,12.17,0.0,0.0
LEU,30,0.0052,69.1,159.1,0.0,0.0,10.15,12.91,0.0,0.0
LEU,15,0.0026,54.8,-68.1,0.0,0.0,13.86,16.95,0.0,0.0
LEU,1424,0.2477,-178.3,61.3,0.0,0.0,7.86,6.51,0.0,0.0
LEU,239,0.0416,-161.5,171.1,0.0,0.0,15.8,21.76,0.0,0.0
LEU,63,0.011,-165.0,-73.8,0.0,0.0,16.34,17.26,0.0,0.0
LEU,343,0.0597,-90.7,52.0,0.0,0.0,10.64,17.25,0.0,0.0
LEU,3480,0.6054,-65.6,175.2,0.0,0.0,7.18,7.06,0.0,0.0
LEU,108,0.0188,-77.3,-50.2,0.0,0.0,13.02,16.37,0.0,0.0
PHE,172,0.0692,62.9,86.7,0.0,0.0,7.75,7.33,0.0,0.0
PHE,3,0.0012,61.9,139.3,0.0,0.0,6.93,22.03,0.0,0.0
PHE,101,0.0406,62.6,-84.2,0.0,0.0,7.19,6.05,0.0,0.0
PHE,683,0.2748,-179.7,72.3,0.0,0.0,7.46,9.89,0.0,0.0
PHE,14,0.0056,-169.8,-148.5,0.0,0.0,7.0,27.01,0.0,0.0
PHE,109,0.0439,-173.9,-85.8,0.0,0.0,8.4,9.42,0.0,0.0
PHE,453,0.1823,-70.3,83.2,0.0,0.0,9.05,12.04,0.0,0.0
