Res	Avg.E	Form	Res	Avg.E	Form
1U0B	47.384077	B	1U0B	241.448479	B
1VFG	26.232302	B	1VFG	262.401412	B
2AZX	30.404979	B	2AZX	630.772097	B
2FK6	12.818245	B	2FK6	204.949648	B
3ADB	38.903095	B	3ADB	171.924356	B
3AMT	28.925949	B	3AMT	251.892496	B
4YCP	33.729357	B	4YCP	176.999379	B
4YVJ	46.406331	B	4YVJ	287.866095	B
5HR7	52.612560	B	5HR7	205.860972	B
1SDS	8.358132	B	1SDS	56.084659	B
2HW8	32.377926	B	2HW8	126.018376	B
1MSW	31.171115	B	1MSW	582.671125	B
1N35	49.671022	B	1N35	993.055558	B
1Q2R	28.872277	B	1Q2R	444.110683	B
1WNE	41.566399	B	1WNE	339.810773	B
1YVP	54.165370	B	1YVP	340.973199	B
1ZBI	13.279084	B	1ZBI	99.619349	B
2AZ0	19.618875	B	2AZ0	75.014448	B
2BGG	50.047222	B	2BGG	306.909831	B
2EZ6	33.235167	B	2EZ6	212.547908	B
2F8S	19.684598	B	2F8S	603.707957	B
2GJW	70.893001	B	2GJW	399.923355	B
2GXB	12.807178	B	2GXB	28.829832	B
2QUX	29.527545	B	2QUX	130.452109	B
2Y8W	34.532921	B	2Y8W	90.547176	B
2ZKO	18.837406	B	2ZKO	86.848044	B
3BSN	55.171882	B	3BSN	316.926489	B
3DD2	22.108025	B	3DD2	184.817185	B
3EQT	45.244713	B	3EQT	170.698154	B
3FTE	5.014333	B	3FTE	196.111798	B
3KS8	26.049813	B	3KS8	149.672467	B
3MOJ	12.332891	B	3MOJ	42.878062	B
3O3I	37.578539	B	3O3I	79.841984	B
3OIJ	19.401181	B	3OIJ	280.211803	B
3OL6	63.922225	B	3OL6	340.039602	B
3RW6	39.687788	B	3RW6	155.689207	B
4ERD	64.705537	B	4ERD	128.935183	B
4FVU	17.911731	B	4FVU	142.367790	B
4IG8	33.781821	B	4IG8	232.008458	B
4ILL	100.075001	B	4ILL	375.028898	B
4ZT0	118.438696	B	4ZT0	872.994990	B
5ED1	21.043566	B	5ED1	266.835901	B
5F5H	23.130104	B	5F5H	83.073282	B
1AV6	12.313261	B	1AV6	270.589287	B
1C9S	17.252372	B	1C9S	25.445950	B
1CVJ	18.527215	B	1CVJ	47.350544	B
1G2E	49.229754	B	1G2E	95.041486	B
1K8W	27.260308	B	1K8W	166.631566	B
1KQ2	58.847665	B	1KQ2	297.909736	B
1M5O	26.994413	B	1M5O	42.373174	B
1M8V	19.139468	B	1M8V	91.142658	B
1M8W	51.428108	B	1M8W	200.240644	B
1UVI	48.939471	B	1UVI	463.841124	B
1WPU	18.092616	B	1WPU	92.616111	B
2A8V	17.365159	B	2A8V	70.180278	B
2ASB	26.355065	B	2ASB	89.342528	B
2GIC	25.035480	B	2GIC	312.871456	B
2IX1	93.123855	B	2IX1	388.967895	B
2JEA	24.765450	B	2JEA	329.001125	B
2JLU	33.182890	B	2JLU	302.385443	B
2PY9	10.803117	B	2PY9	33.778211	B
2Q66	41.445264	B	2Q66	368.766503	B
2R7R	39.454982	B	2R7R	932.529415	B
2XGJ	25.059180	B	2XGJ	694.364931	B
2XNR	18.016062	B	2XNR	49.098623	B
2XZO	42.629098	B	2XZO	441.011823	B
3AEV	23.348287	B	3AEV	96.498221	B
3BX2	49.384039	B	3BX2	187.659119	B
3D2S	13.811316	B	3D2S	44.100529	B
3MDG	16.393586	B	3MDG	348.886732	B
3NMR	15.566670	B	3NMR	94.008053	B
3O8C	26.105349	B	3O8C	398.695793	B
3PF4	14.665362	B	3PF4	29.470894	B
3QJJ	49.549156	B	3QJJ	147.618974	B
3RC8	21.428149	B	3RC8	440.393877	B
4E78	48.105533	B	4E78	367.826392	B
4H5P	65.323168	B	4H5P	301.030447	B
4HOR	50.406909	B	4HOR	369.674159	B
4J7M	22.555051	B	4J7M	253.576482	B
4M59	102.862320	B	4M59	944.867271	B
4MDX	36.278312	B	4MDX	121.476899	B
4N2Q	13.333879	B	4N2Q	110.563255	B
4QU6	8.487512	B	4QU6	68.026195	B
5BUD	27.937854	B	5BUD	313.695480	B
5DET	47.181811	B	5DET	116.193033	B
5EIM	29.540480	B	5EIM	96.841450	B
5ELS	4.137321	B	5ELS	74.007505	B
5EX7	22.770881	B	5EX7	193.247454	B
1G1X	18.036441	B	1G1X	51.786337	B
2OZB	13.282433	B	2OZB	68.336879	B
3A6P	49.108682	B	3A6P	738.747707	B
3IEV	27.700515	B	3IEV	160.362620	B
3ZC0	38.625531	B	3ZC0	1261.249061	B
5WTK	118.683806	B	5WTK	764.441649	B
5LTA	42.182075	B	5LTA	536.103658	B
5WTY	54.689354	B	5WTY	412.077596	B
5GXH	45.914795	B	5GXH	467.798566	B
5T8Y	9.560338	B	5T8Y	287.896570	B
5B63	49.932748	B	5B63	421.333350	B
5SZE	9.434848	B	5SZE	52.168467	B
5V7C	23.961983	B	5V7C	133.593883	B
5W0M	27.934455	B	5W0M	248.177759	B
5WT1	74.253236	B	5WT1	196.862251	B
5WWX	12.740398	B	5WWX	34.233516	B
5X6B	17.303201	B	5X6B	649.988079	B
5ZQ8	43.002125	B	5ZQ8	330.480655	B
5ZSC	20.348391	B	5ZSC	638.817750	B
5ZW4	7.146580	B	5ZW4	151.452274	B
6A4E	13.111917	B	6A4E	105.696899	B
6A6J	18.560181	B	6A6J	39.471141	B
6DCB	6.504094	B	6DCB	162.925706	B
6FQ3	24.387321	B	6FQ3	289.263427	B
6GC5	35.994341	B	6GC5	45.632250	B
6HAU	28.729933	B	6HAU	402.878305	B
6I0V	21.738272	B	6I0V	281.198190	B
6L1W	31.425089	B	6L1W	139.495738	B
6L5N	19.236158	B	6L5N	233.813054	B
6LLB	40.737099	B	6LLB	277.302604	B
6LT7	46.013548	B	6LT7	80.933501	B
6LVR	20.573636	B	6LVR	129.755256	B
6PZQ	13.131632	B	6PZQ	222.392932	B
6R9P	22.713556	B	6R9P	554.977892	B
6RTI	26.692003	B	6RTI	520.001134	B
6SY4	21.132598	B	6SY4	254.381223	B
6U6Y	68.433766	B	6U6Y	653.457714	B
6U9X	42.010157	B	6U9X	187.641184	B
6ZOT	2.996685	B	6ZOT	123.147594	B
6WXY	47.588352	B	6WXY	656.520520	B
6ZDP	31.576651	B	6ZDP	604.760687	B
7C45	51.760616	B	7C45	159.777777	B
7DOL	35.919478	B	7DOL	438.548689	B
7E8O	8.659488	B	7E8O	314.369538	B
7EIU	38.323293	B	7EIU	91.195054	B
7K5L	12.616604	B	7K5L	81.100592	B
7K98	127.929984	B	7K98	1257.937493	B
7KFN	21.373055	B	7KFN	524.969785	B
7KKV	16.406423	B	7KKV	51.895342	B
7KL3	23.803664	B	7KL3	136.298898	B
7L6T	26.326226	B	7L6T	226.081321	B
7MJW	32.052704	B	7MJW	309.099311	B
7OG0	11.690718	B	7OG0	411.834885	B
7OM6	54.748545	B	7OM6	419.725011	B
7P0V	11.393453	B	7P0V	61.888223	B
7V4G	33.725259	B	7V4G	152.211172	B
7XD8	59.551774	B	7XD8	443.959962	B
7VSJ	23.486140	B	7VSJ	96.878649	B
7VKI	15.549642	B	7VKI	74.520270	B
7VKL	12.038849	B	7VKL	104.122319	B
7Y7Q	52.671237	B	7Y7Q	1454.523117	B
8AF0	12.264770	B	8AF0	173.879350	B
8DZK	28.432000	B	8DZK	306.550514	B
8EDJ	34.746190	B	8EDJ	302.156691	B
8H1B	20.023291	B	8H1B	112.132043	B
7YSE	35.473943	B	7YSE	594.110403	B
7XWZ	14.342070	B	7XWZ	70.804007	B
8AXF	179.091027	B	8AXF	647.827350	B
8JOZ	29.132062	B	8JOZ	149.603898	B
7ZLQ	8.853303	B	7ZLQ	44.552908	B
8TG4	18.208071	B	8TG4	105.092267	B
