AA,PHI,PSI,_Count,Count,Prob,B_CHI1,B_CHI2,B_CHI3,B_CHI4,B_CHI1Sig,B_CHI2Sig,B_CHI3Sig,B_CHI4Sig
ASN,-90,90,3,17,0.17647059,-168.77,-36.63,0.0,0.0,7.98,14.51,0.0,0.0
ASN,-90,90,2,17,0.11764706,-67.51,144.6,0.0,0.0,16.51,9.14,0.0,0.0
ASN,-90,120,8,27,0.2962963,-171.47,30.48,0.0,0.0,5.74,14.57,0.0,0.0
ASN,-90,120,10,27,0.37037037,-174.79,-30.7,0.0,0.0,3.93,11.19,0.0,0.0
ASN,-90,120,3,27,0.11111111,-86.33,38.03,0.0,0.0,11.74,27.06,0.0,0.0
ASN,-90,120,4,27,0.14814815,-74.08,-43.3,0.0,0.0,12.4,9.76,0.0,0.0
ASN,-90,150,2,11,0.18181818,-174.09,-79.24,0.0,0.0,2.13,0.99,0.0,0.0
ASN,-90,150,8,11,0.72727273,-65.59,-40.92,0.0,0.0,4.5,19.33,0.0,0.0
ASN,-60,-60,4,21,0.19047619,-162.3,57.51,0.0,0.0,15.93,14.24,0.0,0.0
ASN,-60,-60,2,21,0.0952381,-61.33,50.58,0.0,0.0,11.93,44.52,0.0,0.0
ASN,-60,-60,12,21,0.57142857,-71.28,-31.95,0.0,0.0,4.5,10.3,0.0,0.0
ASN,-60,-30,10,98,0.10204082,80.31,79.35,0.0,0.0,6.19,11.4,0.0,0.0
ASN,-60,-30,4,98,0.04081633,56.59,-52.47,0.0,0.0,10.53,18.86,0.0,0.0
ASN,-60,-30,19,98,0.19387755,-172.5,45.26,0.0,0.0,7.9,14.91,0.0,0.0
ASN,-60,-30,2,98,0.02040816,-154.54,173.3,0.0,0.0,0.04,6.51,0.0,0.0
ASN,-60,-30,5,98,0.05102041,-179.71,-89.89,0.0,0.0,19.72,10.08,0.0,0.0
ASN,-60,-30,14,98,0.14285714,-71.27,23.4,0.0,0.0,9.64,25.13,0.0,0.0
ASN,-60,-30,3,98,0.03061224,-92.77,174.26,0.0,0.0,11.57,14.65,0.0,0.0
ASN,-60,-30,41,98,0.41836735,-70.29,-32.89,0.0,0.0,6.31,15.65,0.0,0.0
ASN,-60,0,5,7,0.71428571,-70.0,-25.1,0.0,0.0,10.71,16.24,0.0,0.0
ASN,-60,120,2,5,0.4,-173.06,-64.34,0.0,0.0,4.85,7.62,0.0,0.0
