AA,PHI,PSI,_Count,Count,Prob,U_CHI1,U_CHI2,U_CHI3,U_CHI4,U_CHI1Sig,U_CHI2Sig,U_CHI3Sig,U_CHI4Sig
ARG,-90,120,14,181,0.07734807,-178.98,179.15,-179.31,-176.58,6.35,10.9,7.99,12.57
ARG,-90,120,11,181,0.06077348,178.56,170.67,178.95,-87.64,9.69,13.69,16.83,11.55
ARG,-90,120,5,181,0.02762431,179.04,171.02,-70.49,103.46,6.33,3.38,5.56,6.38
ARG,-90,120,12,181,0.06629834,176.93,175.54,-59.9,171.62,7.83,17.27,9.7,13.69
ARG,-90,120,3,181,0.01657459,-170.62,-173.32,-48.47,-80.82,2.37,6.19,14.02,10.78
ARG,-90,120,4,181,0.02209945,-69.96,-178.96,58.47,84.77,6.75,5.61,15.45,6.94
ARG,-90,120,5,181,0.02762431,-73.78,-175.35,69.74,-160.94,16.34,18.5,8.39,36.97
ARG,-90,120,2,181,0.01104972,-68.36,-177.72,66.86,-106.25,8.42,0.87,0.54,4.26
ARG,-90,120,7,181,0.03867403,-60.46,-176.52,-178.79,85.72,10.99,7.34,9.94,6.27
ARG,-90,120,15,181,0.08287293,-67.55,-168.46,169.6,176.51,5.64,14.34,9.06,12.24
ARG,-90,120,11,181,0.06077348,-68.45,-175.5,-175.0,-98.7,8.28,11.37,11.04,9.19
ARG,-90,120,15,181,0.08287293,-65.3,179.8,-64.46,171.36,7.22,10.85,9.16,10.59
