AA,PHI,PSI,_Count,Count,Prob,B_CHI1,B_CHI2,B_CHI3,B_CHI4,B_CHI1Sig,B_CHI2Sig,B_CHI3Sig,B_CHI4Sig
ARG,-150,150,18,178,0.1011236,66.18,178.85,178.78,-178.31,8.17,10.25,8.49,11.59
ARG,-150,150,8,178,0.04494382,65.45,-161.89,-175.75,-78.53,4.86,4.04,4.0,9.25
ARG,-150,150,4,178,0.02247191,57.94,-169.01,-66.12,150.73,10.91,3.39,14.32,26.02
ARG,-150,150,2,178,0.01123596,53.34,-171.41,-68.63,-82.9,5.45,10.08,17.97,5.66
ARG,-150,150,6,178,0.03370787,-166.81,175.25,68.07,-173.08,11.62,6.51,8.87,12.17
ARG,-150,150,3,178,0.01685393,173.92,175.07,-175.46,65.05,2.25,1.09,1.32,6.24
ARG,-150,150,9,178,0.0505618,-172.65,170.09,179.49,-174.69,9.92,11.14,10.13,11.73
ARG,-150,150,6,178,0.03370787,-177.35,178.73,-69.29,158.37,7.07,9.18,10.16,15.03
ARG,-150,150,4,178,0.02247191,-159.47,-171.75,-64.95,-88.76,5.4,6.86,2.91,7.49
ARG,-150,150,2,178,0.01123596,-73.7,97.85,174.03,88.06,2.44,4.21,1.68,0.69
ARG,-150,150,4,178,0.02247191,-81.9,-166.45,59.6,90.94,11.05,13.16,18.6,11.8
ARG,-150,150,10,178,0.05617978,-53.56,176.32,68.95,175.04,15.53,20.52,9.69,16.18
ARG,-150,150,2,178,0.01123596,-72.75,176.41,85.15,-104.58,19.34,8.57,9.23,12.63
ARG,-150,150,9,178,0.0505618,-69.95,-176.64,174.18,79.76,12.04,8.89,9.65,10.99
ARG,-150,150,7,178,0.03932584,-62.85,-173.98,-177.39,177.5,6.21,11.74,10.66,17.2
ARG,-150,150,6,178,0.03370787,-75.9,173.33,177.44,-81.55,9.25,10.29,8.56,5.19
ARG,-150,150,7,178,0.03932584,-73.46,-179.34,-70.98,-165.0,12.29,9.3,10.49,15.27
ARG,-150,150,4,178,0.02247191,-61.92,-167.31,-64.98,-88.49,3.86,14.78,9.98,10.61
ARG,-150,150,3,178,0.01685393,-60.79,-63.15,169.15,85.41,8.04,5.23,11.11,10.17
ARG,-150,150,16,178,0.08988764,-67.36,-71.17,-174.9,-82.25,4.98,4.6,2.22,5.58
ARG,-150,150,2,178,0.01123596,-56.84,-79.72,-67.43,-152.66,0.83,11.39,12.98,5.31
ARG,-150,150,3,178,0.01685393,-67.91,-73.89,-61.36,-75.93,3.73,3.43,4.08,3.11
ARG,-120,-180,3,30,0.1,60.55,-174.53,179.58,-77.35,5.3,6.13,7.66,5.92
ARG,-120,-180,2,30,0.06666667,56.22,161.23,-72.83,168.8,11.69,26.99,36.17,4.92
ARG,-120,-180,2,30,0.06666667,174.2,-178.7,-178.99,-107.14,0.0,0.01,0.0,0.0
ARG,-120,-180,2,30,0.06666667,-87.98,87.24,165.54,162.82,15.48,12.93,11.67,1.53
ARG,-120,-180,2,30,0.06666667,-63.14,-174.22,68.41,80.98,5.93,11.58,7.16,0.9
ARG,-120,-180,4,30,0.13333333,-62.77,164.23,75.04,178.82,12.28,28.9,14.34,8.15
ARG,-120,-180,5,30,0.16666667,-50.67,-177.93,-78.71,159.99,8.04,13.45,3.43,9.07
ARG,-120,-150,2,5,0.4,-57.15,-60.62,165.56,66.46,0.01,0.01,0.01,0.0
ARG,-120,-90,2,3,0.66666667,-54.45,177.91,101.29,-104.7,0.02,0.01,0.0,0.01
ARG,-120,-60,2,6,0.33333333,-170.15,143.79,165.44,-178.92,5.25,23.23,2.82,5.93
ARG,-120,-30,2,27,0.07407407,176.79,-173.67,176.18,76.01,2.51,1.75,2.58,0.98
ARG,-120,-30,2,27,0.07407407,175.84,175.49,-71.84,-99.46,22.23,10.89,13.1,12.4
ARG,-120,-30,3,27,0.11111111,-55.37,177.77,56.92,76.69,7.69,7.22,6.65,2.72
ARG,-120,-30,2,27,0.07407407,-54.97,-163.89,75.96,178.19,0.03,0.01,0.03,0.01
