AA,PHI,PSI,_Count,Count,Prob,U_CHI1,U_CHI2,U_CHI3,U_CHI4,U_CHI1Sig,U_CHI2Sig,U_CHI3Sig,U_CHI4Sig
PHE,-60,-30,3,59,0.05084746,71.38,85.64,0.0,0.0,8.84,1.83,0.0,0.0
PHE,-60,-30,22,59,0.37288136,179.69,76.31,0.0,0.0,5.57,4.88,0.0,0.0
PHE,-60,-30,5,59,0.08474576,-78.31,87.03,0.0,0.0,14.31,10.06,0.0,0.0
PHE,-60,-30,2,59,0.03389831,-77.05,-168.84,0.0,0.0,5.99,6.17,0.0,0.0
PHE,-60,-30,25,59,0.42372881,-69.66,-70.58,0.0,0.0,7.56,15.56,0.0,0.0
PHE,-60,0,2,4,0.5,56.93,78.47,0.0,0.0,5.68,7.26,0.0,0.0
PHE,-60,120,3,8,0.375,-176.9,84.15,0.0,0.0,2.03,13.49,0.0,0.0
PHE,-60,120,3,8,0.375,-68.58,-65.17,0.0,0.0,11.3,22.93,0.0,0.0
PHE,-60,150,3,15,0.2,-179.48,72.23,0.0,0.0,6.95,18.97,0.0,0.0
PHE,-60,150,2,15,0.13333333,-146.88,-38.64,0.0,0.0,7.36,37.04,0.0,0.0
PHE,-60,150,8,15,0.53333333,-65.44,-44.78,0.0,0.0,4.35,25.17,0.0,0.0
PHE,-30,-60,2,3,0.66666667,179.71,72.47,0.0,0.0,1.04,3.21,0.0,0.0
PHE,60,30,2,2,1.0,-56.93,69.2,0.0,0.0,8.14,42.43,0.0,0.0
PRO,-90,-180,6,7,0.85714286,33.88,-38.54,0.0,0.0,1.88,2.43,0.0,0.0
PRO,-90,0,10,13,0.76923077,32.22,-38.67,0.0,0.0,2.17,3.94,0.0,0.0
PRO,-90,0,2,13,0.15384615,-19.39,36.15,0.0,0.0,1.1,2.83,0.0,0.0
PRO,-90,60,3,4,0.75,31.64,-36.21,0.0,0.0,1.16,2.02,0.0,0.0
PRO,-90,90,3,3,1.0,30.46,-33.96,0.0,0.0,3.49,4.3,0.0,0.0
PRO,-90,120,2,5,0.4,7.69,10.95,0.0,0.0,3.02,0.4,0.0,0.0
PRO,-90,120,2,5,0.4,-23.07,40.65,0.0,0.0,3.19,1.66,0.0,0.0
PRO,-90,150,12,14,0.85714286,32.55,-37.3,0.0,0.0,2.73,5.53,0.0,0.0
PRO,-90,150,2,14,0.14285714,-5.63,24.53,0.0,0.0,4.5,6.21,0.0,0.0
PRO,-60,-180,3,4,0.75,25.88,-35.64,0.0,0.0,8.73,5.49,0.0,0.0
PRO,-60,-60,10,10,1.0,-29.29,37.94,0.0,0.0,4.59,4.21,0.0,0.0
PRO,-60,-30,37,97,0.3814433,22.69,-33.16,0.0,0.0,4.89,4.5,0.0,0.0
PRO,-60,-30,60,97,0.6185567,-27.91,38.17,0.0,0.0,4.83,5.32,0.0,0.0
PRO,-60,0,9,13,0.69230769,25.9,-34.86,0.0,0.0,3.68,2.94,0.0,0.0
PRO,-60,0,4,13,0.30769231,-23.58,41.41,0.0,0.0,1.71,2.09,0.0,0.0
PRO,-60,120,9,23,0.39130435,25.65,-36.01,0.0,0.0,3.69,4.15,0.0,0.0
PRO,-60,120,13,23,0.56521739,-26.91,37.21,0.0,0.0,3.31,4.31,0.0,0.0
PRO,-60,150,2,96,0.02083333,2.51,8.17,0.0,0.0,1.92,5.91,0.0,0.0
PRO,-60,150,43,96,0.44791667,24.96,-34.23,0.0,0.0,3.96,4.46,0.0,0.0
PRO,-60,150,50,96,0.52083333,-24.11,34.81,0.0,0.0,5.05,4.95,0.0,0.0
PRO,-30,-60,4,4,1.0,-32.11,34.53,0.0,0.0,4.09,8.3,0.0,0.0
PRO,-30,-30,2,2,1.0,-36.93,44.54,0.0,0.0,1.66,0.32,0.0,0.0
TRP,-180,150,2,2,1.0,62.64,-97.53,0.0,0.0,8.43,8.28,0.0,0.0
TRP,-120,120,2,5,0.4,-168.94,-91.25,0.0,0.0,1.53,1.56,0.0,0.0
