AA,PHI,PSI,_Count,Count,Prob,B_CHI1,B_CHI2,B_CHI3,B_CHI4,B_CHI1Sig,B_CHI2Sig,B_CHI3Sig,B_CHI4Sig
ARG,-60,120,2,86,0.02325581,-142.31,175.58,-75.25,109.73,2.63,3.01,8.67,4.12
ARG,-60,120,4,86,0.04651163,-177.54,177.46,-67.36,172.49,7.76,7.59,13.46,20.63
ARG,-60,120,4,86,0.04651163,-174.0,-177.29,-44.3,-85.09,1.52,3.23,8.79,1.81
ARG,-60,120,3,86,0.03488372,-79.09,169.59,48.26,80.45,2.51,17.31,1.74,8.79
ARG,-60,120,5,86,0.05813953,-66.67,-179.66,74.12,175.75,9.12,7.5,7.51,14.3
ARG,-60,120,4,86,0.04651163,-61.79,-175.1,-179.82,87.26,1.64,8.15,6.0,11.63
ARG,-60,120,4,86,0.04651163,-65.02,173.44,175.97,-85.5,3.99,10.21,15.24,11.87
ARG,-60,120,2,86,0.02325581,-62.15,-160.94,-68.08,129.31,1.45,5.83,7.47,1.97
ARG,-60,120,2,86,0.02325581,-84.86,-149.77,-34.13,-71.53,2.74,3.55,9.63,4.01
ARG,-60,120,2,86,0.02325581,-70.03,-89.93,-48.44,177.38,8.08,18.71,5.02,6.59
ARG,-60,150,2,124,0.01612903,65.33,173.16,177.06,93.01,5.51,17.68,8.08,6.33
ARG,-60,150,3,124,0.02419355,77.03,-175.32,177.38,177.17,4.37,3.99,9.5,1.05
ARG,-60,150,2,124,0.01612903,-154.04,61.95,-171.82,176.55,10.73,6.0,22.59,1.06
ARG,-60,150,5,124,0.04032258,-177.25,160.8,57.04,-174.42,17.47,15.06,13.59,14.72
ARG,-60,150,3,124,0.02419355,-171.34,177.48,170.51,66.63,3.95,1.02,14.9,19.96
ARG,-60,150,11,124,0.08870968,179.66,170.16,178.49,179.33,8.63,4.74,10.13,10.62
ARG,-60,150,6,124,0.0483871,-168.49,-159.35,-160.25,-97.2,2.69,9.82,4.18,6.91
ARG,-60,150,4,124,0.03225806,-160.43,164.74,-68.11,-165.55,20.97,19.43,4.97,4.05
ARG,-60,150,5,124,0.04032258,-175.32,177.91,-64.14,-91.36,12.77,15.69,6.93,8.8
ARG,-60,150,2,124,0.01612903,-67.63,169.76,53.94,97.05,6.48,6.76,4.47,9.07
ARG,-60,150,11,124,0.08870968,-68.77,177.79,67.06,175.98,5.41,12.84,14.15,14.81
ARG,-60,150,11,124,0.08870968,-64.25,178.93,169.84,95.03,6.08,6.15,10.0,10.64
ARG,-60,150,11,124,0.08870968,-64.75,-177.91,176.2,-179.63,4.18,6.61,9.78,4.43
ARG,-60,150,3,124,0.02419355,-69.69,179.38,171.18,-68.46,7.15,4.94,14.73,6.03
ARG,-60,150,3,124,0.02419355,-75.35,179.36,-73.93,103.32,6.23,20.17,17.94,13.61
ARG,-60,150,12,124,0.09677419,-58.82,176.33,-73.87,-178.0,12.49,11.87,11.89,9.72
ARG,-60,150,2,124,0.01612903,-51.84,-146.69,-57.97,-56.92,12.22,0.47,15.79,15.89
ARG,-60,150,4,124,0.03225806,-61.98,-58.44,92.45,-164.88,2.65,0.88,5.41,7.57
ARG,-60,150,3,124,0.02419355,-56.64,-57.74,-151.41,76.53,9.38,23.74,12.79,0.44
ARG,-60,150,4,124,0.03225806,-65.16,-67.94,176.97,-162.55,2.79,2.7,5.09,11.66
